clip_name,absolute_time,time_in_clip,duration,midi_pitch,note_name,velocity,is_enabled,clip_start,clip_end,note_id
bass,0.0,0.0,0.25,40,E2,100,True,0.0,16.0,1
Funk Straight Beat 01 16th HH Closed (Clean),0.0,0.0,0.12083333333333333,36,C2,71,True,0.0,16.0,2
Funk Straight Beat 01 16th HH Closed (Clean),0.0,0.0,0.12083333333333333,51,D#3,64,True,0.0,16.0,1
Swing 16ths 66,0.0,0.0,0.0625,36,C2,127,True,0.0,4.0,1
Funk Straight Beat 01 16th HH Closed (Clean),0.25,0.25,0.12083333333333333,49,C#3,9,True,0.0,16.0,3
Swing 16ths 66,0.3333333333333333,0.3333333333333333,0.0625,36,C2,127,True,0.0,4.0,2
bass,0.5,0.5,0.25,40,E2,100,False,0.0,16.0,2
Funk Straight Beat 01 16th HH Closed (Clean),0.5,0.5,0.12083333333333333,49,C#3,16,True,0.0,16.0,4
Swing 16ths 66,0.5,0.5,0.0625,36,C2,127,True,0.0,4.0,18
Funk Straight Beat 01 16th HH Closed (Clean),0.75,0.75,0.12083333333333333,49,C#3,28,True,0.0,16.0,5
Swing 16ths 66,0.8333333333333334,0.8333333333333334,0.0625,36,C2,127,True,0.0,4.0,19
Funk Straight Beat 01 16th HH Closed (Clean),1.0,1.0,0.12083333333333333,38,D2,109,True,0.0,16.0,7
Funk Straight Beat 01 16th HH Closed (Clean),1.0,1.0,0.12083333333333333,51,D#3,42,True,0.0,16.0,6
Swing 16ths 66,1.0,1.0,0.0625,36,C2,127,True,0.0,4.0,20
bass,1.25,1.25,0.25,40,E2,100,True,0.0,16.0,3
Funk Straight Beat 01 16th HH Closed (Clean),1.25,1.25,0.12083333333333333,49,C#3,13,True,0.0,16.0,8
Swing 16ths 66,1.3333333333333333,1.3333333333333333,0.0625,36,C2,127,True,0.0,4.0,21
bass,1.5,1.5,0.25,40,E2,100,True,0.0,16.0,4
Funk Straight Beat 01 16th HH Closed (Clean),1.5,1.5,0.12083333333333333,49,C#3,20,True,0.0,16.0,9
Swing 16ths 66,1.5,1.5,0.0625,36,C2,127,True,0.0,4.0,22
Funk Straight Beat 01 16th HH Closed (Clean),1.75,1.75,0.12083333333333333,49,C#3,32,True,0.0,16.0,10
Funk Straight Beat 01 16th HH Closed (Clean),1.7625,1.7625,0.12083333333333333,36,C2,23,True,0.0,16.0,11
Swing 16ths 66,1.8333333333333333,1.8333333333333333,0.0625,36,C2,127,True,0.0,4.0,23
bass,2.0,2.0,0.25,40,E2,100,True,0.0,16.0,5
Funk Straight Beat 01 16th HH Closed (Clean),2.0,2.0,0.12083333333333333,36,C2,78,True,0.0,16.0,13
Funk Straight Beat 01 16th HH Closed (Clean),2.0,2.0,0.12083333333333333,51,D#3,48,True,0.0,16.0,12
Swing 16ths 66,2.0,2.0,0.0625,36,C2,127,True,0.0,4.0,24
Funk Straight Beat 01 16th HH Closed (Clean),2.25,2.25,0.12083333333333333,49,C#3,11,True,0.0,16.0,14
Swing 16ths 66,2.3333333333333335,2.3333333333333335,0.0625,36,C2,127,True,0.0,4.0,25
bass,2.5,2.5,0.25,40,E2,100,True,0.0,16.0,6
Funk Straight Beat 01 16th HH Closed (Clean),2.5,2.5,0.12083333333333333,49,C#3,18,True,0.0,16.0,15
Swing 16ths 66,2.5,2.5,0.0625,36,C2,127,True,0.0,4.0,26
Funk Straight Beat 01 16th HH Closed (Clean),2.75,2.75,0.12083333333333333,49,C#3,30,True,0.0,16.0,16
Swing 16ths 66,2.8333333333333335,2.8333333333333335,0.0625,36,C2,127,True,0.0,4.0,27
bass,3.0,3.0,0.25,40,E2,100,True,0.0,16.0,7
Funk Straight Beat 01 16th HH Closed (Clean),3.0,3.0,0.12083333333333333,38,D2,108,True,0.0,16.0,18
Funk Straight Beat 01 16th HH Closed (Clean),3.0,3.0,0.12083333333333333,51,D#3,52,True,0.0,16.0,17
Swing 16ths 66,3.0,3.0,0.0625,36,C2,127,True,0.0,4.0,28
bass,3.25,3.25,0.25,40,E2,100,True,0.0,16.0,9
Funk Straight Beat 01 16th HH Closed (Clean),3.25,3.25,0.12083333333333333,49,C#3,10,True,0.0,16.0,19
Swing 16ths 66,3.3333333333333335,3.3333333333333335,0.0625,36,C2,127,True,0.0,4.0,29
bass,3.5,3.5,0.25,40,E2,100,True,0.0,16.0,8
Funk Straight Beat 01 16th HH Closed (Clean),3.5,3.5,0.12083333333333333,49,C#3,17,True,0.0,16.0,20
Swing 16ths 66,3.5,3.5,0.0625,36,C2,127,True,0.0,4.0,30
Funk Straight Beat 01 16th HH Closed (Clean),3.75,3.75,0.12083333333333333,49,C#3,29,True,0.0,16.0,21
Swing 16ths 66,3.8333333333333335,3.8333333333333335,0.0625,36,C2,127,True,0.0,4.0,31
Funk Straight Beat 01 16th HH Closed (Clean),4.0,4.0,0.12083333333333333,36,C2,78,True,0.0,16.0,23
Funk Straight Beat 01 16th HH Closed (Clean),4.0,4.0,0.12083333333333333,51,D#3,45,True,0.0,16.0,22
bass,4.25,4.25,0.25,40,E2,100,True,0.0,16.0,19
